Date,AAPL,AMZN,GOOGL,MSFT,SPY,MKT,SMB,HML,RMW,CMA,RF
2017-04-12,0.0011995736493279655,-0.006816465475626657,0.0018795104468085774,-0.0038254353634467105,-0.004391264224933192,-0.49,-0.94,-0.54,-0.04,-0.54,0.003
2017-04-13,-0.005303175342406504,-0.012982362180291775,-0.0015223948651723255,-0.004301546240273445,-0.006516313175800088,-0.75,-0.34,-0.81,-0.03,-0.38,0.003
2017-04-17,0.005514451118649674,0.019388679242407184,0.017637382155502,0.008126981603720128,0.008821027772944303,0.89,0.29,0.24,0.02,-0.14,0.003
2017-04-18,-0.004451748993046248,0.0019825439257081605,-0.0013340014543353515,-0.0013753366158044506,-0.0029887041042507196,-0.25,0.31,-0.19,0.31,0.11,0.003
2017-04-19,-0.0036896086296999333,-0.005080490932540684,0.0029464961027652423,-0.005367125553034268,-0.001840391589325112,-0.08,0.56,-0.44,0.44,-0.84,0.003
2017-04-20,0.012433497952924893,0.0031755921300895573,0.00415944126726365,0.007047969915524985,0.008106320421793376,0.83,0.6,0.26,0.2,-0.2,0.003
2017-04-21,-0.0011944101835842864,-0.003920991580964202,-0.0013147717975364624,0.01364680698830283,-0.0031920563538416708,-0.28,0.06,-0.15,0.35,-0.19,0.003
2017-04-24,0.009583854199573251,0.00983429874612701,0.022994558879746697,0.0168748322777224,0.010937931141658818,1.18,0.29,0.5,-0.07,0.16,0.003
2017-04-25,0.006176153635164439,0.0002314421627079044,0.011212039156888964,0.005758697007420924,0.00580180858075769,0.65,0.39,-0.07,-0.38,0.31,0.003
2017-04-26,-0.0058980705090471005,0.0018382843639346154,0.0003374478777182206,-0.001326202015742056,-0.0006293024783253214,0.04,0.75,0.32,0.23,0.01,0.003
2017-04-27,0.0007655805736337372,0.009947135813499207,0.002583381338516156,0.0064655976754873995,0.0008386940058908234,0.05,-0.2,-0.98,0.2,-0.57,0.003
2017-04-28,-0.0009744770378651084,0.00717171217012917,0.036436620295371515,0.0027798768433735265,-0.002181679586002931,-0.3,-0.76,-0.61,0.1,-0.19,0.003
2017-05-01,0.020191724254574443,0.024814135682882283,0.00893750978713331,0.013781040230708705,0.0025170610964088615,0.21,0.25,-0.13,-0.17,-0.5,0.003
2017-05-02,0.006324179466433666,-0.001361332480141284,0.004567093619159356,-0.0015856640081934512,0.00037707087191485034,0.03,-0.47,-0.21,0.4,-0.35,0.003
2017-05-03,-0.0030545479828776884,-0.006260749456835918,0.012049761098077146,-0.003179914856314242,-0.0012156275926437665,-0.19,-0.52,0.22,-0.04,0.13,0.003
2017-05-04,-0.003610815110743088,-0.0037262465726880887,0.0065890190091320725,-0.003916441605702095,0.001173466040361505,0.02,-0.13,-0.36,0.36,-0.71,0.003
2017-05-05,0.016447961587874628,-0.0036117050485217394,-0.004661428326620422,0.0027575479261659763,0.003929421474685424,0.46,0.11,0.0,-0.22,0.65,0.003
2017-05-08,0.026825000760953982,0.01581390557197806,0.008811126890291513,-0.0008698563433691715,-0.0001668556100074851,-0.04,-0.21,0.26,0.13,0.08,0.003
2017-05-09,0.006384726765458305,0.00397504396457471,-0.0020675132698778505,0.001449380669831638,-0.000918490822473689,-0.05,0.4,-0.81,0.34,-0.37,0.003
2017-05-10,-0.004752215722297312,-0.0040699094353591,-0.0019564910235644077,0.003903239290848686,0.0017944588065676073,0.2,0.25,0.03,-0.31,0.39,0.003
2017-05-11,0.00861135050711649,-0.0014024858443927135,0.0010990117827255701,-0.012339331303975905,-0.0020450245001110393,-0.26,-0.43,-0.15,-0.25,-0.02,0.003
2017-05-12,0.013868930864794477,0.014384979876204108,-0.0007848851492425589,-0.0011695775482323796,-0.0016724756388543712,-0.18,-0.38,-0.61,-0.27,-0.33,0.003
2017-05-15,-0.0025659634113154037,-0.0035221371813001783,0.004262497706379627,0.00073113105442903,0.005508530164929164,0.53,0.25,0.2,-0.31,0.04,0.003
2017-05-16,-0.0014782011998628393,0.00841988707322527,0.005603435724306935,0.01993499328671514,-0.0009161864600279031,-0.03,0.1,-0.09,-0.25,-0.12,0.003
2017-05-17,-0.03415212058921181,-0.02230541371236398,-0.023538103554047018,-0.02819964491667777,-0.01790326342490798,-1.97,-0.96,-0.6,0.53,0.29,0.003
2017-05-18,0.015126135244099545,0.014428214255485494,0.008802438202630181,0.003402555962221385,0.004020321898992386,0.4,0.0,-0.39,-0.33,-0.59,0.003
2017-05-19,0.0034033015917806883,0.001407496712127195,0.004356548763367385,-0.00029543918196086276,0.006483067117685781,0.7,-0.34,0.4,-0.09,0.79,0.003
2017-05-22,0.006057793502897735,0.011219952555303286,0.009819139225679147,0.011165354478865365,0.005064561994312855,0.56,0.25,-0.3,-0.04,-0.31,0.003
2017-05-23,-0.001234642494531395,0.0008958659605052509,0.006699042237061614,0.0033542983092377313,0.00221044294975211,0.18,-0.01,0.65,-0.23,0.08,0.003
2017-05-24,-0.00299551268431989,0.009027253614072204,0.007247909468711839,0.0013094373259608255,0.0023301620430155926,0.24,-0.19,-0.46,0.14,-0.3,0.003
